pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Actor-Critic training
pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -45, global rewards -43.02 (g_ep 2), action: [1. 1.], time: 22:44:21.157501
Episode finished after 50 timesteps, total rewards -46, global rewards -43.10870698 (g_ep 5), action: [0.31919098 1.        ], time: 22:44:26.620799
Episode finished after 50 timesteps, total rewards -50, global rewards -43.358920076634675 (g_ep 10), action: [1. 1.], time: 22:44:34.176993
Episode finished after 50 timesteps, total rewards -50, global rewards -43.503581183524155 (g_ep 14), action: [1. 1.], time: 22:44:40.899755
Episode finished after 50 timesteps, total rewards -50, global rewards -43.690563005604375 (g_ep 18), action: [1. 1.], time: 22:44:48.808059
Episode finished after 50 timesteps, total rewards -48, global rewards -43.899379997837165 (g_ep 22), action: [1.         0.90539044], time: 22:44:56.921351
Episode finished after 50 timesteps, total rewards -50, global rewards -44.06076676739618 (g_ep 26), action: [0.29780644 0.        ], time: 22:45:04.469058
Episode finished after 50 timesteps, total rewards -49, global rewards -44.274896254301375 (g_ep 30), action: [1.         0.63792896], time: 22:45:11.424842
Episode finished after 50 timesteps, total rewards -46, global rewards -44.43078818504585 (g_ep 34), action: [1. 1.], time: 22:45:18.824848
Episode finished after 50 timesteps, total rewards -47, global rewards -44.58122838171019 (g_ep 38), action: [0. 1.], time: 22:45:24.312271
Episode finished after 50 timesteps, total rewards -47, global rewards -44.764749604369555 (g_ep 42), action: [0.         0.80125153], time: 22:45:31.928374
Episode finished after 50 timesteps, total rewards -50, global rewards -44.9634021147204 (g_ep 47), action: [1.        0.5909375], time: 22:45:38.206356
Episode finished after 50 timesteps, total rewards -50, global rewards -45.210245525751716 (g_ep 52), action: [0.5829339 0.       ], time: 22:45:47.995913
Episode finished after 50 timesteps, total rewards -49, global rewards -45.379080963157456 (g_ep 56), action: [1.        0.8617696], time: 22:45:54.783708
Episode finished after 50 timesteps, total rewards -47, global rewards -45.471961610676004 (g_ep 60), action: [1. 1.], time: 22:46:01.961787
Episode finished after 50 timesteps, total rewards -48, global rewards -45.52247241008853 (g_ep 64), action: [0.84063375 1.        ], time: 22:46:07.425223
Episode finished after 50 timesteps, total rewards -50, global rewards -45.69890486246613 (g_ep 68), action: [1. 1.], time: 22:46:14.376903
Episode finished after 50 timesteps, total rewards -50, global rewards -45.78449665570305 (g_ep 70), action: [1. 1.], time: 22:46:18.973992
Episode finished after 50 timesteps, total rewards -50, global rewards -45.950604307326685 (g_ep 74), action: [1. 1.], time: 22:46:24.768961
Episode finished after 50 timesteps, total rewards -50, global rewards -46.11016665470683 (g_ep 78), action: [1.         0.08581787], time: 22:46:33.346715
Episode finished after 50 timesteps, total rewards -50, global rewards -46.23374160894643 (g_ep 82), action: [1. 0.], time: 22:46:40.894880
Episode finished after 50 timesteps, total rewards -50, global rewards -46.38214721692492 (g_ep 86), action: [0. 0.], time: 22:46:50.786868
Episode finished after 50 timesteps, total rewards -50, global rewards -46.55945800129257 (g_ep 91), action: [1. 0.], time: 22:46:59.620971
Episode finished after 50 timesteps, total rewards -50, global rewards -46.708574802966176 (g_ep 96), action: [1. 1.], time: 22:47:10.779717
Episode finished after 50 timesteps, total rewards -49, global rewards -46.82827008851585 (g_ep 100), action: [1. 1.], time: 22:47:19.259616
Episode finished after 50 timesteps, total rewards -50, global rewards -46.95324890223067 (g_ep 104), action: [1. 0.], time: 22:47:27.746989
Episode finished after 50 timesteps, total rewards -50, global rewards -47.053897072019666 (g_ep 108), action: [1. 0.], time: 22:47:36.481798
Episode finished after 50 timesteps, total rewards -50, global rewards -47.14139927508361 (g_ep 111), action: [0. 1.], time: 22:47:43.343784
Episode finished after 50 timesteps, total rewards -47, global rewards -47.224039549462205 (g_ep 115), action: [0.         0.40828598], time: 22:47:53.129870
Episode finished after 50 timesteps, total rewards -50, global rewards -47.360089232622634 (g_ep 120), action: [1. 0.], time: 22:48:04.057028
Episode finished after 50 timesteps, total rewards -50, global rewards -47.43849722232451 (g_ep 123), action: [1. 1.], time: 22:48:10.547930
Episode finished after 50 timesteps, total rewards -50, global rewards -47.539430652161 (g_ep 127), action: [1. 0.], time: 22:48:21.152703
Episode finished after 50 timesteps, total rewards -50, global rewards -47.66002303311618 (g_ep 132), action: [1. 0.], time: 22:48:30.251119
Episode finished after 50 timesteps, total rewards -50, global rewards -47.70658857475717 (g_ep 134), action: [0. 0.], time: 22:48:38.212546
Episode finished after 50 timesteps, total rewards -50, global rewards -47.79695813562332 (g_ep 138), action: [1. 0.], time: 22:48:49.341511
Episode finished after 50 timesteps, total rewards -50, global rewards -47.8837667752168 (g_ep 142), action: [0. 0.], time: 22:48:57.900906
Episode finished after 50 timesteps, total rewards -50, global rewards -47.94662101822609 (g_ep 145), action: [1. 1.], time: 22:49:05.610190
Episode finished after 50 timesteps, total rewards -50, global rewards -48.04725701965921 (g_ep 150), action: [0.21179214 0.        ], time: 22:49:14.580764
Episode finished after 50 timesteps, total rewards -50, global rewards -48.12420288452913 (g_ep 154), action: [1. 0.], time: 22:49:23.269557
Episode finished after 50 timesteps, total rewards -50, global rewards -48.198116775309174 (g_ep 158), action: [0. 1.], time: 22:49:31.597349
Episode finished after 50 timesteps, total rewards -50, global rewards -48.269118163876065 (g_ep 162), action: [0. 0.], time: 22:49:40.512606
Episode finished after 50 timesteps, total rewards -50, global rewards -48.33732181443787 (g_ep 166), action: [1. 0.], time: 22:49:49.817919
Episode finished after 50 timesteps, total rewards -50, global rewards -48.40283796903498 (g_ep 170), action: [0. 1.], time: 22:49:59.413256
Episode finished after 50 timesteps, total rewards -49, global rewards -48.455772525731504 (g_ep 174), action: [0. 1.], time: 22:50:07.983616
Episode finished after 50 timesteps, total rewards -48, global rewards -48.4868202496853 (g_ep 178), action: [0. 1.], time: 22:50:16.238862
Episode finished after 50 timesteps, total rewards -50, global rewards -48.5464455694349 (g_ep 182), action: [1. 0.], time: 22:50:26.373910
Episode finished after 50 timesteps, total rewards -50, global rewards -48.603721413681335 (g_ep 186), action: [0. 0.], time: 22:50:36.247766
Episode finished after 50 timesteps, total rewards -50, global rewards -48.65874036113385 (g_ep 190), action: [1. 1.], time: 22:50:44.870086
Episode finished after 50 timesteps, total rewards -50, global rewards -48.71159134253113 (g_ep 194), action: [1. 1.], time: 22:50:54.450629
Episode finished after 50 timesteps, total rewards -50, global rewards -48.762359784385936 (g_ep 198), action: [1. 0.], time: 22:51:02.236637
Episode finished after 50 timesteps, total rewards -50, global rewards -48.81112774706558 (g_ep 202), action: [1. 1.], time: 22:51:10.756880
Episode finished after 50 timesteps, total rewards -50, global rewards -48.857974057431484 (g_ep 206), action: [1. 0.], time: 22:51:19.835879
Episode finished after 50 timesteps, total rewards -50, global rewards -48.89307443625219 (g_ep 210), action: [0. 0.], time: 22:51:31.190242
Episode finished after 50 timesteps, total rewards -50, global rewards -48.93669172009686 (g_ep 214), action: [0. 1.], time: 22:51:40.040130
Episode finished after 50 timesteps, total rewards -50, global rewards -48.97859030892508 (g_ep 218), action: [0. 1.], time: 22:51:48.750605
Episode finished after 50 timesteps, total rewards -50, global rewards -49.018837926178094 (g_ep 222), action: [1. 1.], time: 22:51:59.160235pygame 1.9.4
Hello from the pygame community. https://www.pygame.org/contribute.html
Episode finished after 50 timesteps, total rewards -43, global rewards -43.0 (g_ep 1), action: [1. 1.], time: 22:44:20.508277
Episode finished after 50 timesteps, total rewards -46, global rewards -43.1376199102 (g_ep 6), action: [0.29069716 1.        ], time: 22:44:26.944969
Episode finished after 50 timesteps, total rewards -48, global rewards -43.291838461247146 (g_ep 9), action: [1. 1.], time: 22:44:33.476124
Episode finished after 50 timesteps, total rewards -50, global rewards -43.43796079143854 (g_ep 13), action: [1. 1.], time: 22:44:39.964920
Episode finished after 50 timesteps, total rewards -46, global rewards -43.6268313187923 (g_ep 17), action: [1. 1.], time: 22:44:46.960028
Episode finished after 50 timesteps, total rewards -48, global rewards -43.857959593774915 (g_ep 21), action: [1.        0.9010344], time: 22:44:55.210019
Episode finished after 50 timesteps, total rewards -44, global rewards -44.000774512521396 (g_ep 25), action: [0.32161468 0.        ], time: 22:45:02.443431
Episode finished after 50 timesteps, total rewards -49, global rewards -44.22716793363775 (g_ep 29), action: [1.         0.64895654], time: 22:45:08.521618
Episode finished after 50 timesteps, total rewards -47, global rewards -44.41493756065237 (g_ep 33), action: [1. 1.], time: 22:45:16.607074
Episode finished after 50 timesteps, total rewards -49, global rewards -44.55679634516181 (g_ep 37), action: [0. 1.], time: 22:45:22.257239
Episode finished after 50 timesteps, total rewards -50, global rewards -44.74217131754501 (g_ep 41), action: [0.        0.8074451], time: 22:45:31.174551
Episode finished after 50 timesteps, total rewards -50, global rewards -44.861138776370176 (g_ep 45), action: [1.        0.6116128], time: 22:45:37.509116
Episode finished after 50 timesteps, total rewards -50, global rewards -45.161864167425975 (g_ep 51), action: [0.58861196 0.        ], time: 22:45:47.174511
Episode finished after 50 timesteps, total rewards -49, global rewards -45.342506023391365 (g_ep 55), action: [1.         0.86838645], time: 22:45:53.782961
Episode finished after 50 timesteps, total rewards -46, global rewards -45.456526879470715 (g_ep 59), action: [1. 1.], time: 22:46:00.790681
