Episode 0 finished after 25 timesteps, total rewards -22
Episode 1 finished after 25 timesteps, total rewards -22
Episode 2 finished after 25 timesteps, total rewards -22
Episode 3 finished after 25 timesteps, total rewards -22
Episode 4 finished after 25 timesteps, total rewards -22
Episode 5 finished after 25 timesteps, total rewards -23
Episode 6 finished after 25 timesteps, total rewards -22
Episode 7 finished after 25 timesteps, total rewards -20
Episode 8 finished after 25 timesteps, total rewards -23
Episode 9 finished after 2 timesteps, total rewards 4
Episode 10 finished after 25 timesteps, total rewards -21
Episode 11 finished after 25 timesteps, total rewards -24
Episode 12 finished after 25 timesteps, total rewards -21
Episode 13 finished after 25 timesteps, total rewards -25
Episode 14 finished after 25 timesteps, total rewards -22
Episode 15 finished after 25 timesteps, total rewards -20
Episode 16 finished after 25 timesteps, total rewards -20
Episode 17 finished after 25 timesteps, total rewards -18
Episode 18 finished after 6 timesteps, total rewards 1
Episode 19 finished after 25 timesteps, total rewards -22
Episode 20 finished after 25 timesteps, total rewards -21
Episode 21 finished after 25 timesteps, total rewards -21
Episode 22 finished after 25 timesteps, total rewards -18
Episode 23 finished after 18 timesteps, total rewards -10
Episode 24 finished after 25 timesteps, total rewards -22
Episode 25 finished after 25 timesteps, total rewards -21
Episode 26 finished after 25 timesteps, total rewards -22
Episode 27 finished after 25 timesteps, total rewards -19
Episode 28 finished after 5 timesteps, total rewards 1
Episode 29 finished after 18 timesteps, total rewards -9
Episode 30 finished after 25 timesteps, total rewards -20
Episode 31 finished after 25 timesteps, total rewards -21
Episode 32 finished after 10 timesteps, total rewards -1
Episode 33 finished after 25 timesteps, total rewards -20
Episode 34 finished after 21 timesteps, total rewards -12
Episode 35 finished after 25 timesteps, total rewards -18
Episode 36 finished after 15 timesteps, total rewards -7
Episode 37 finished after 25 timesteps, total rewards -21
Episode 38 finished after 25 timesteps, total rewards -22
Episode 39 finished after 25 timesteps, total rewards -21
Episode 40 finished after 25 timesteps, total rewards -23
Episode 41 finished after 25 timesteps, total rewards -21
Episode 42 finished after 25 timesteps, total rewards -21
Episode 43 finished after 25 timesteps, total rewards -21
Episode 44 finished after 3 timesteps, total rewards 3
Episode 45 finished after 25 timesteps, total rewards -21
Episode 46 finished after 25 timesteps, total rewards -23
Episode 47 finished after 15 timesteps, total rewards -7
Episode 48 finished after 11 timesteps, total rewards -3
Episode 49 finished after 16 timesteps, total rewards -8
Episode 50 finished after 25 timesteps, total rewards -22
Episode 51 finished after 25 timesteps, total rewards -19
Episode 52 finished after 25 timesteps, total rewards -18
Episode 53 finished after 11 timesteps, total rewards -2
Episode 54 finished after 16 timesteps, total rewards -4
Episode 55 finished after 25 timesteps, total rewards -21
Episode 56 finished after 25 timesteps, total rewards -24
Episode 57 finished after 25 timesteps, total rewards -22
Episode 58 finished after 25 timesteps, total rewards -21
Episode 59 finished after 25 timesteps, total rewards -23
Episode 60 finished after 25 timesteps, total rewards -22
Episode 61 finished after 4 timesteps, total rewards 2
Episode 62 finished after 25 timesteps, total rewards -23
Episode 63 finished after 25 timesteps, total rewards -22
Episode 64 finished after 25 timesteps, total rewards -22
Episode 65 finished after 15 timesteps, total rewards -5
Episode 66 finished after 16 timesteps, total rewards -8
Episode 67 finished after 25 timesteps, total rewards -25
Episode 68 finished after 25 timesteps, total rewards -20
Episode 69 finished after 25 timesteps, total rewards -24
Episode 70 finished after 25 timesteps, total rewards -21
Episode 71 finished after 25 timesteps, total rewards -23
Episode 72 finished after 25 timesteps, total rewards -23
Episode 73 finished after 23 timesteps, total rewards -14
Episode 74 finished after 25 timesteps, total rewards -21
Episode 75 finished after 25 timesteps, total rewards -20
Episode 76 finished after 25 timesteps, total rewards -19
Episode 77 finished after 25 timesteps, total rewards -20
Episode 78 finished after 25 timesteps, total rewards -22
Episode 79 finished after 25 timesteps, total rewards -22
Episode 80 finished after 25 timesteps, total rewards -23
Episode 81 finished after 25 timesteps, total rewards -23
Episode 82 finished after 25 timesteps, total rewards -21
Episode 83 finished after 25 timesteps, total rewards -23
Episode 84 finished after 22 timesteps, total rewards -13
Episode 85 finished after 25 timesteps, total rewards -25
Episode 86 finished after 18 timesteps, total rewards -10
Episode 87 finished after 25 timesteps, total rewards -24
Episode 88 finished after 25 timesteps, total rewards -23
Episode 89 finished after 25 timesteps, total rewards -24
Episode 90 finished after 25 timesteps, total rewards -21
Episode 91 finished after 25 timesteps, total rewards -20
Episode 92 finished after 25 timesteps, total rewards -18
Episode 93 finished after 25 timesteps, total rewards -23
Episode 94 finished after 25 timesteps, total rewards -24
Episode 95 finished after 25 timesteps, total rewards -20
Episode 96 finished after 25 timesteps, total rewards -23
Episode 97 finished after 25 timesteps, total rewards -17
Episode 98 finished after 25 timesteps, total rewards -23
Episode 99 finished after 25 timesteps, total rewards -21
Episode 100 finished after 25 timesteps, total rewards -22
Episode 101 finished after 25 timesteps, total rewards -25
Episode 102 finished after 24 timesteps, total rewards -18
Episode 103 finished after 25 timesteps, total rewards -24
Episode 104 finished after 25 timesteps, total rewards -23
Episode 105 finished after 25 timesteps, total rewards -20
Episode 106 finished after 25 timesteps, total rewards -22
Episode 107 finished after 25 timesteps, total rewards -23
Episode 108 finished after 25 timesteps, total rewards -21
Episode 109 finished after 17 timesteps, total rewards -8
Episode 110 finished after 13 timesteps, total rewards -5
Episode 111 finished after 25 timesteps, total rewards -22
Episode 112 finished after 25 timesteps, total rewards -21
Episode 113 finished after 9 timesteps, total rewards -2
Episode 114 finished after 25 timesteps, total rewards -22
Episode 115 finished after 25 timesteps, total rewards -23
Episode 116 finished after 25 timesteps, total rewards -20
Episode 117 finished after 25 timesteps, total rewards -23
Episode 118 finished after 25 timesteps, total rewards -20
Episode 119 finished after 25 timesteps, total rewards -22
Episode 120 finished after 25 timesteps, total rewards -22
Episode 121 finished after 25 timesteps, total rewards -20
Episode 122 finished after 25 timesteps, total rewards -21
Episode 123 finished after 25 timesteps, total rewards -22
Episode 124 finished after 25 timesteps, total rewards -21
Episode 125 finished after 25 timesteps, total rewards -21
Episode 126 finished after 25 timesteps, total rewards -19
Episode 127 finished after 25 timesteps, total rewards -23
Episode 128 finished after 23 timesteps, total rewards -13
Episode 129 finished after 25 timesteps, total rewards -23
Episode 130 finished after 3 timesteps, total rewards 5
Episode 131 finished after 25 timesteps, total rewards -19
Episode 132 finished after 25 timesteps, total rewards -23
Episode 133 finished after 16 timesteps, total rewards -8
Episode 134 finished after 25 timesteps, total rewards -19
Episode 135 finished after 25 timesteps, total rewards -22
Episode 136 finished after 25 timesteps, total rewards -22
Episode 137 finished after 25 timesteps, total rewards -20
Episode 138 finished after 25 timesteps, total rewards -22
Episode 139 finished after 25 timesteps, total rewards -20
Episode 140 finished after 25 timesteps, total rewards -23
Episode 141 finished after 4 timesteps, total rewards 3
Episode 142 finished after 25 timesteps, total rewards -23
Episode 143 finished after 25 timesteps, total rewards -20
Episode 144 finished after 25 timesteps, total rewards -18
Episode 145 finished after 25 timesteps, total rewards -23
Episode 146 finished after 25 timesteps, total rewards -18
Episode 147 finished after 25 timesteps, total rewards -21
Episode 148 finished after 11 timesteps, total rewards -4
Episode 149 finished after 25 timesteps, total rewards -18
Episode 150 finished after 25 timesteps, total rewards -21
Episode 151 finished after 25 timesteps, total rewards -20
Episode 152 finished after 25 timesteps, total rewards -21
Episode 153 finished after 25 timesteps, total rewards -21
Episode 154 finished after 25 timesteps, total rewards -23
Episode 155 finished after 25 timesteps, total rewards -20
Episode 156 finished after 25 timesteps, total rewards -21
Episode 157 finished after 25 timesteps, total rewards -22
Episode 158 finished after 25 timesteps, total rewards -23
Episode 159 finished after 20 timesteps, total rewards -12
Episode 160 finished after 25 timesteps, total rewards -21
Episode 161 finished after 25 timesteps, total rewards -17
Episode 162 finished after 25 timesteps, total rewards -20
Episode 163 finished after 20 timesteps, total rewards -11
Episode 164 finished after 20 timesteps, total rewards -11
Episode 165 finished after 24 timesteps, total rewards -12
Episode 166 finished after 7 timesteps, total rewards -1
Episode 167 finished after 25 timesteps, total rewards -22
Episode 168 finished after 25 timesteps, total rewards -22
Episode 169 finished after 25 timesteps, total rewards -20
Episode 170 finished after 25 timesteps, total rewards -22
Episode 171 finished after 13 timesteps, total rewards -5
Episode 172 finished after 25 timesteps, total rewards -22
Episode 173 finished after 25 timesteps, total rewards -20
Episode 174 finished after 25 timesteps, total rewards -23
Episode 175 finished after 25 timesteps, total rewards -20
Episode 176 finished after 17 timesteps, total rewards -7
Episode 177 finished after 25 timesteps, total rewards -24
Episode 178 finished after 25 timesteps, total rewards -21
Episode 179 finished after 25 timesteps, total rewards -25
Episode 180 finished after 1 timesteps, total rewards 5
Episode 181 finished after 25 timesteps, total rewards -20
Episode 182 finished after 13 timesteps, total rewards -6
Episode 183 finished after 25 timesteps, total rewards -21
Episode 184 finished after 25 timesteps, total rewards -23
Episode 185 finished after 25 timesteps, total rewards -24
Episode 186 finished after 25 timesteps, total rewards -19
Episode 187 finished after 25 timesteps, total rewards -20
Episode 188 finished after 25 timesteps, total rewards -22
Episode 189 finished after 25 timesteps, total rewards -23
Episode 190 finished after 25 timesteps, total rewards -21
Episode 191 finished after 25 timesteps, total rewards -23
Episode 192 finished after 25 timesteps, total rewards -23
Episode 193 finished after 18 timesteps, total rewards -9
Episode 194 finished after 25 timesteps, total rewards -19
Episode 195 finished after 25 timesteps, total rewards -24
Episode 196 finished after 25 timesteps, total rewards -20
Episode 197 finished after 24 timesteps, total rewards -15
Episode 198 finished after 18 timesteps, total rewards -10
Episode 199 finished after 25 timesteps, total rewards -21
Episode 200 finished after 22 timesteps, total rewards -13
Episode 201 finished after 25 timesteps, total rewards -23
Episode 202 finished after 18 timesteps, total rewards -10
Episode 203 finished after 25 timesteps, total rewards -21
Episode 204 finished after 25 timesteps, total rewards -23
Episode 205 finished after 25 timesteps, total rewards -20
Episode 206 finished after 25 timesteps, total rewards -22
Episode 207 finished after 25 timesteps, total rewards -22
Episode 208 finished after 25 timesteps, total rewards -21
Episode 209 finished after 25 timesteps, total rewards -17
Episode 210 finished after 25 timesteps, total rewards -20
Episode 211 finished after 25 timesteps, total rewards -22
Episode 212 finished after 9 timesteps, total rewards -1
Episode 213 finished after 25 timesteps, total rewards -17
Episode 214 finished after 25 timesteps, total rewards -25
Episode 215 finished after 25 timesteps, total rewards -19
Episode 216 finished after 10 timesteps, total rewards -2
Episode 217 finished after 25 timesteps, total rewards -20
Episode 218 finished after 13 timesteps, total rewards -5
Episode 219 finished after 25 timesteps, total rewards -23
Episode 220 finished after 21 timesteps, total rewards -12
Episode 221 finished after 20 timesteps, total rewards -11
Episode 222 finished after 25 timesteps, total rewards -20
Episode 223 finished after 12 timesteps, total rewards -3
Episode 224 finished after 25 timesteps, total rewards -23
Episode 225 finished after 23 timesteps, total rewards -12
Episode 226 finished after 25 timesteps, total rewards -23
Episode 227 finished after 3 timesteps, total rewards 3
Episode 228 finished after 25 timesteps, total rewards -21
Episode 229 finished after 25 timesteps, total rewards -22
Episode 230 finished after 25 timesteps, total rewards -21
Episode 231 finished after 12 timesteps, total rewards -4
Episode 232 finished after 25 timesteps, total rewards -23
Episode 233 finished after 25 timesteps, total rewards -21
Episode 234 finished after 25 timesteps, total rewards -23
Episode 235 finished after 25 timesteps, total rewards -23
Episode 236 finished after 25 timesteps, total rewards -20
Episode 237 finished after 25 timesteps, total rewards -20
Episode 238 finished after 16 timesteps, total rewards -9
Episode 239 finished after 25 timesteps, total rewards -20
Episode 240 finished after 25 timesteps, total rewards -22
Episode 241 finished after 25 timesteps, total rewards -22
Episode 242 finished after 25 timesteps, total rewards -23
Episode 243 finished after 25 timesteps, total rewards -23
Episode 244 finished after 25 timesteps, total rewards -21
Episode 245 finished after 25 timesteps, total rewards -20
Episode 246 finished after 25 timesteps, total rewards -18
Episode 247 finished after 25 timesteps, total rewards -24
Episode 248 finished after 25 timesteps, total rewards -21
Episode 249 finished after 25 timesteps, total rewards -23
Episode 250 finished after 25 timesteps, total rewards -17
Episode 251 finished after 25 timesteps, total rewards -23
Episode 252 finished after 25 timesteps, total rewards -21
Episode 253 finished after 25 timesteps, total rewards -19
Episode 254 finished after 3 timesteps, total rewards 4
Episode 255 finished after 25 timesteps, total rewards -24
Episode 256 finished after 25 timesteps, total rewards -23
Episode 257 finished after 25 timesteps, total rewards -23
Episode 258 finished after 25 timesteps, total rewards -19
Episode 259 finished after 25 timesteps, total rewards -18
Episode 260 finished after 25 timesteps, total rewards -23
Episode 261 finished after 25 timesteps, total rewards -23
Episode 262 finished after 25 timesteps, total rewards -21
Episode 263 finished after 25 timesteps, total rewards -20
Episode 264 finished after 20 timesteps, total rewards -11
Episode 265 finished after 25 timesteps, total rewards -19
Episode 266 finished after 25 timesteps, total rewards -20
Episode 267 finished after 25 timesteps, total rewards -20
Episode 268 finished after 25 timesteps, total rewards -23
Episode 269 finished after 15 timesteps, total rewards -5
Episode 270 finished after 25 timesteps, total rewards -22
Episode 271 finished after 25 timesteps, total rewards -21
Episode 272 finished after 25 timesteps, total rewards -19
Episode 273 finished after 25 timesteps, total rewards -21
Episode 274 finished after 25 timesteps, total rewards -23
Episode 275 finished after 25 timesteps, total rewards -22
Episode 276 finished after 25 timesteps, total rewards -23
Episode 277 finished after 25 timesteps, total rewards -20
Episode 278 finished after 25 timesteps, total rewards -20
Episode 279 finished after 25 timesteps, total rewards -17
Episode 280 finished after 25 timesteps, total rewards -21
Episode 281 finished after 25 timesteps, total rewards -23
Episode 282 finished after 25 timesteps, total rewards -24
Episode 283 finished after 25 timesteps, total rewards -23
Episode 284 finished after 6 timesteps, total rewards 1
Episode 285 finished after 25 timesteps, total rewards -19
Episode 286 finished after 25 timesteps, total rewards -19
Episode 287 finished after 25 timesteps, total rewards -22
Episode 288 finished after 25 timesteps, total rewards -20
Episode 289 finished after 25 timesteps, total rewards -21
